,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,LEVEL,ENROLLMENT,ST_GRADE,END_GRADE,DISTRICTID,FT_TEACHER,SHELTER_ID,x,y
25,3855,63432005558,TAFT MIDDLE,9191 GRAMERCY DR.,SAN DIEGO,CA,92123,4015,(858) 935-2650,1,1,454,SAN DIEGO,6073,USA,32.801702844,-117.130357957,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005558,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://sandi.net/taft,ELEMENTARY,430,06,08,634320,24,10798926,-13038891.8042071,3869012.81448425
41,7492,63432005551,SHERMAN ELEMENTARY,301 22ND ST.,SAN DIEGO,CA,92102,2918,(619) 615-7000,1,1,611,SAN DIEGO,6073,USA,32.709472299,-117.142830354,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005551,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,611,KG,05,634320,-999,10814501,-13040280.2250901,3856804.45875559
43,8054,63432005551,SHERMAN ELEMENTARY,301 22ND ST.,SAN DIEGO,CA,92102,2918,(619) 615-7000,1,1,605,SAN DIEGO,6073,USA,32.709472299,-117.142830354,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005551,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,581,KG,05,634320,24,10814501,-13040280.2250901,3856804.45875559
47,8881,63432011939,LINCOLN HIGH,4777 IMPERIAL AVE.,SAN DIEGO,CA,92113,2071,(619) 266-6500,1,1,1451,SAN DIEGO,6073,USA,32.7028815530001,-117.089573623,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432011939,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://lincolnhighsd.net/hornets,HIGH,1399,09,12,634320,52,10814284,-13034351.7129139,3855932.53971215
48,8956,63153011134,OAK VALLEY MIDDLE,16055 WINECREEK RD.,SAN DIEGO,CA,92127,3719,(858) 487-2939,1,1,1630,SAN DIEGO,6073,USA,33.0001806550001,-117.109610695,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063153011134,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.powayusd.com/pusdovms,ELEMENTARY,1566,06,08,631530,64,NOT AVAILABLE,-13036582.2295659,3895327.94234818
49,8992,63432005562,TWAIN HIGH,6402 LINDA VISTA RD.,SAN DIEGO,CA,92111,7320,(858) 800-5300,4,1,279,SAN DIEGO,6073,USA,32.7721268010001,-117.179598854,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005562,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://www.sandi.net/twain,OTHER,251,07,12,634320,28,10814530,-13044373.2757873,3865096.52078288
51,9102,63432005553,SPRECKELS ELEMENTARY,6033 STADIUM ST.,SAN DIEGO,CA,92122,3399,(858) 453-5377,1,1,686,SAN DIEGO,6073,USA,32.849855855,-117.212980762,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005553,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://www.sandi.net/spreckels,ELEMENTARY,660,KG,05,634320,26,10814392,-13048089.3327876,3875391.75487262
53,9343,63432005456,FARB MIDDLE,4880 LA CUENTA DR.,SAN DIEGO,CA,92124,3015,(858) 397-6750,1,1,478,SAN DIEGO,6073,USA,32.8202658450001,-117.100789066,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005456,12/10/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.farbmiddle.org,ELEMENTARY,454,06,08,634320,24,10814361,-13035600.2103177,3871471.48843617
54,9730,63432011154,SAN DIEGO METRO CAREER AND TECH,7250 MESA COLLEGE DR. RM. L-502,SAN DIEGO,CA,92111,4902,(619) 388-2299,4,1,150,SAN DIEGO,6073,USA,32.804783081,-117.16902029,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432011154,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.sandi.net/met,MIDDLE,137,09,12,634320,13,NOT AVAILABLE,-13043195.6754295,3869420.75708088
58,10787,61074007660,ASHLEY FALLS ELEMENTARY,13030 ASHLEY FALLS DR.,SAN DIEGO,CA,92130,3717,(858) 259-7812,1,1,343,SAN DIEGO,6073,USA,32.9562033620001,-117.208965303,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061074007660,1/29/2010 12:00:00 AM,IMAGERY,5/19/2010 12:00:00 AM,http://www.dmusd.org/af,MIDDLE,324,KG,06,610740,19,NOT AVAILABLE,-13047642.3339364,3889492.13403895
59,10839,63153007679,SHOAL CREEK ELEMENTARY,11775 SHOAL CREEK DR.,SAN DIEGO,CA,92128,4573,(858) 613-9080,1,1,520,SAN DIEGO,6073,USA,32.9672638910001,-117.08203829,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063153007679,10/13/2009 12:00:00 AM,IMAGERY/OTHER,2/23/2016 12:00:00 AM,http://www.powayusd.com/pusdsces,ELEMENTARY,495,KG,05,631530,25,NOT AVAILABLE,-13033512.8834814,3890959.59813113
62,11699,63432005428,CADMAN ELEMENTARY,4370 KAMLOOP AVE.,SAN DIEGO,CA,92117,4543,(858) 397-6500,1,1,8,SAN DIEGO,6073,USA,32.8221036640001,-117.215664035,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005428,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,NOT AVAILABLE,MIDDLE,-999,KG,05,634320,8,10814318,-13048388.0333716,3871714.93595036
81,13824,63432005460,FLORENCE ELEMENTARY,3914 FIRST AVE.,SAN DIEGO,CA,92103,3089,(619) 344-5900,1,1,239,SAN DIEGO,6073,USA,32.748946953,-117.164391194,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005460,12/10/2009 12:00:00 AM,IMAGERY,2/24/2016 12:00:00 AM,NOT AVAILABLE,MIDDLE,228,KG,05,634320,11,10814364,-13042680.36682,3862028.08497749
85,14251,63432005434,CLAIREMONT HIGH,4150 UTE DR.,SAN DIEGO,CA,92117,5853,(858) 273-0201,1,1,938,SAN DIEGO,6073,USA,32.809396629,-117.203708943,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005434,12/10/2009 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://sandi.net/clairemont,MIDDLE,900,09,12,634320,38,NOT AVAILABLE,-13047057.1986178,3870031.79584344
88,14507,61074012091,OCEAN AIR,11444 CANTER HEIGHTS DR.,SAN DIEGO,CA,92130,6974,(858) 481-4040,1,1,-999,SAN DIEGO,6073,USA,32.928090324,-117.214687308,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061074012091,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://www.dmusd.org/oceanair,ELEMENTARY,-999,KG,06,610740,-999,NOT AVAILABLE,-13048279.3046193,3885763.04173534
90,14614,63432005549,SERRA HIGH,5156 SANTO RD.,SAN DIEGO,CA,92124,2037,(858) 496-8342,1,1,1458,SAN DIEGO,6073,USA,32.8264390300001,-117.104790655,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005549,1/29/2010 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://www.serra.sandi.net,HIGH,1402,09,12,634320,56,10814400,-13036045.6651675,3872289.24209854
93,15227,63432012892,KNOX MIDDLE,1098 S. 49TH ST.,SAN DIEGO,CA,92113,3599,(619) 344-5500,1,1,600,SAN DIEGO,6073,USA,32.695770882,-117.091125474,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432012892,2/4/2014 12:00:00 AM,IMAGERY,5/16/2014 12:00:00 AM,http://sandi.net/schools,ELEMENTARY,574,06,08,634320,26,NOT AVAILABLE,-13034524.464177,3854991.90969648
95,15433,63432005566,WANGENHEIM MIDDLE,9230 GOLD COAST DR.,SAN DIEGO,CA,92126,3799,(619) 605-2250,1,1,853,SAN DIEGO,6073,USA,32.905700734,-117.125788742,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005566,1/29/2010 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://sandi.net/wangenheim,ELEMENTARY,818,06,08,634320,35,10784703,-13038383.16152,3882793.99161936
101,16571,63432011765,NORMAL HEIGHTS ELEMENTARY,3750 WARD RD.,SAN DIEGO,CA,92116,3737,(619) 584-6000,1,1,273,SAN DIEGO,6073,USA,32.7609352760001,-117.112775885,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432011765,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.sandi.net/normalheights,SECONDARY,261,KG,05,634320,12,NOT AVAILABLE,-13036934.576905,3863614.94127331
102,16596,63432005413,BALBOA ELEMENTARY,1844 S. 40TH ST.,SAN DIEGO,CA,92113,4017,(619) 362-4100,1,1,463,SAN DIEGO,6073,USA,32.6872602820001,-117.10832234,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005413,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://new.sandi.net/schools/balboa,ELEMENTARY,441,KG,05,634320,22,10814299,-13036438.8105433,3853866.18958241
104,16634,63153012196,DEL SUR ELEMENTARY,15665 PASEO DEL SUR,SAN DIEGO,CA,92127,6144,(858) 674-6200,1,1,974,SAN DIEGO,6073,USA,33.018530668,-117.140879082,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063153012196,9/30/2011 12:00:00 AM,IMAGERY,2/18/2019 12:00:00 AM,http://www.powayusd.com/pusddses,HIGH,935,KG,05,631530,39,NOT AVAILABLE,-13040063.0104847,3897763.85801847
105,17291,63153012216,DEL NORTE HIGH,16601 NIGHTHAWK LN.,SAN DIEGO,CA,92127,4457,(858) 487-0877,1,1,2573,SAN DIEGO,6073,USA,33.015134984,-117.121644788,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063153012216,9/30/2011 12:00:00 AM,IMAGERY,9/30/2011 12:00:00 AM,http://www.powayusd.com/pusddnhs,HIGH,2481,09,12,631530,92,NOT AVAILABLE,-13037921.8586708,3897313.0517335
107,17388,63432005509,MADISON HIGH,4833 DOLIVA DR.,SAN DIEGO,CA,92117,3211,(858) 536-0336,1,1,977,SAN DIEGO,6073,USA,32.831141329,-117.173866174,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005509,1/29/2010 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://www.madison.sandi.net,ELEMENTARY,932,09,12,634320,45,10814431,-13043735.1167689,3872912.18757342
108,17395,63432011382,PORTER ELEMENTARY,4800 T ST.,SAN DIEGO,CA,92113,5006,(619) 266-7700,1,1,681,SAN DIEGO,6073,USA,32.6991576090001,-117.092712676,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432011382,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://new.sandi.net/schools/porter,ELEMENTARY,656,KG,06,634320,25,NOT AVAILABLE,-13034701.1506954,3855439.91110317
109,17659,63432005499,LEWIS MIDDLE,5170 GREENBRIER AVE.,SAN DIEGO,CA,92120,1220,(619) 510-4300,1,1,1087,SAN DIEGO,6073,USA,32.7964786270001,-117.079499561,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005499,10/13/2009 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://www.lewis.edu,NOT APPLICABLE,1042,06,08,634320,45,10814415,-13033230.2734618,3868320.95826898
110,18021,63432005427,CABRILLO ELEMENTARY,3120 TALBOT ST.,SAN DIEGO,CA,92106,2447,(619) 362-4000,1,1,149,SAN DIEGO,6073,USA,32.7207530420001,-117.233507786,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005427,10/13/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://new.sandi.net/schools/cabrillo,ELEMENTARY,141,KG,04,634320,8,10814319,-13050374.3906468,3858296.9878137
114,18025,63432005530,OCEAN BEACH ELEMENTARY,4741 SANTA MONICA AVE.,SAN DIEGO,CA,92107,2297,(619) 223-1631,1,1,419,SAN DIEGO,6073,USA,32.7452238880001,-117.246821057,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005530,12/10/2009 12:00:00 AM,IMAGERY/OTHER,2/24/2016 12:00:00 AM,http://www.obelementary.com,ELEMENTARY,401,KG,04,634320,18,NOT AVAILABLE,-13051856.4171953,3861535.31813326
115,18122,63432010635,CREATIVE PERFORMING AND MEDIA ARTS,5050 CONRAD AVE.,SAN DIEGO,CA,92117,1401,(858) 800-5550,1,1,864,SAN DIEGO,6073,USA,32.8365862900001,-117.182440805,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432010635,1/29/2010 12:00:00 AM,IMAGERY/OTHER,10/9/2019 12:00:00 AM,http://www.cpmamiddle.org,HIGH,825,06,08,634320,39,10814436,-13044689.6403255,3873633.55974113
120,18854,61074011753,SYCAMORE RIDGE,5333 OLD CARMEL VALLEY RD.,SAN DIEGO,CA,92130,2650,(858) 755-1060,1,1,375,SAN DIEGO,6073,USA,32.9543959060001,-117.1988739,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061074011753,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.dmusd.org/sycamore,OTHER,355,KG,06,610740,20,NOT AVAILABLE,-13046518.9640931,3889252.3459004
122,19203,63432011157,GOLDEN HILL K-8,1240 33RD ST.,SAN DIEGO,CA,92102,2409,(619) 236-5600,1,1,428,SAN DIEGO,6073,USA,32.7184122900001,-117.123408304,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432011157,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.sandi.net/goldenhill,HIGH,408,KG,08,634320,20,NOT AVAILABLE,-13038118.1723739,3857987.27280028
127,19598,63432010380,SCRIPPS ELEMENTARY,11778 CYPRESS CANYON RD.,SAN DIEGO,CA,92131,3743,(858) 693-8593,1,1,766,SAN DIEGO,6073,USA,32.9352842640001,-117.095683559,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432010380,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,737,KG,05,634320,29,NOT AVAILABLE,-13035031.8678782,3886717.17886211
129,19818,63738008308,TEOFILO MENDOZA,2050 CORONADO AVE.,SAN DIEGO,CA,92154,2034,(619) 424-0100,1,1,655,SAN DIEGO,6073,USA,32.57739437,-117.089512213,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063738008308,10/13/2009 12:00:00 AM,IMAGERY/OTHER,2/23/2016 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,629,KG,06,637380,26,NOT AVAILABLE,-13034344.8767839,3839343.54422374
131,20264,63432009189,CHALLENGER MIDDLE,10810 PARKDALE AVE.,SAN DIEGO,CA,92126,2599,(858) 586-7001,1,1,930,SAN DIEGO,6073,USA,32.913251571,-117.157414663,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432009189,12/10/2009 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://www.challengerms.org,ELEMENTARY,894,06,08,634320,36,10784707,-13041903.7429416,3883795.21291414
132,20478,63432012376,MILLENNIAL TECH MIDDLE,1110 CAROLINA LN.,SAN DIEGO,CA,92102,3713,(619) 362-4650,1,1,418,SAN DIEGO,6073,USA,32.7170898680001,-117.088970475,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432012376,9/30/2011 12:00:00 AM,IMAGERY,9/30/2011 12:00:00 AM,http://mtechmiddle.org,MIDDLE,402,06,08,634320,16,NOT AVAILABLE,-13034284.5707856,3857812.30102371
134,20635,63864006487,MONTGOMERY MIDDLE,1051 PICADOR BLVD.,SAN DIEGO,CA,92154,3548,(619) 662-4000,1,1,796,SAN DIEGO,6073,USA,32.5767705700001,-117.05550737,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063864006487,12/10/2009 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,762,07,08,638640,34,10801165,-13030559.4749767,3839261.13797085
135,20643,63432005522,MISSION BAY HIGH,2475 GRAND AVE.,SAN DIEGO,CA,92109,4825,(858) 536-0136,1,1,1239,SAN DIEGO,6073,USA,32.8003741040001,-117.223838758,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005522,12/10/2009 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://www.missionbayhigh.com,ELEMENTARY,1187,09,12,634320,52,10814444,-13049298.0393734,3868836.84224437
137,21097,63432005473,HAMILTON ELEMENTARY,2807 FAIRMOUNT AVE.,SAN DIEGO,CA,92105,4635,(619) 344-6800,1,1,471,SAN DIEGO,6073,USA,32.735544068,-117.10023684,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005473,12/10/2009 12:00:00 AM,IMAGERY,2/24/2016 12:00:00 AM,http://new.sandi.net/schools/hamilton,ELEMENTARY,451,KG,05,634320,20,10814379,-13035538.7368005,3860254.24041613
138,21159,63432007316,CLARK MIDDLE,4388 THORN ST.,SAN DIEGO,CA,92105,4238,(619) 344-4200,1,1,945,SAN DIEGO,6073,USA,32.7406762470001,-117.099966102,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432007316,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.monroeclark.org,HIGH,910,06,08,634320,35,NOT AVAILABLE,-13035508.5983842,3860933.44234217
141,21767,63432005512,MARSHALL ELEMENTARY,3550 ALTADENA AVE.,SAN DIEGO,CA,92105,3698,(619) 344-5100,1,1,415,SAN DIEGO,6073,USA,32.7435897060001,-117.086401807,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005512,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,398,KG,05,634320,17,NOT AVAILABLE,-13033998.6279719,3861319.03222482
