OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STFIPS,COFIPS,SECTOR,LEVEL,HI_OFFER,DEG_GRANT,LOCALE,CLOSE_DATE,MERGE_ID,ALIAS,SIZE_SET,INST_SIZE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,HOUSING,DORM_CAP,TOT_EMP,SHELTER_ID,x,y
2139,120971,PALOMAR COLLEGE,1140 W. MISSION,SAN MARCOS,CA,92069,1487,(760) 744-1150,1,A,22506,SAN DIEGO,06073,USA,33.1501895750001,-117.181718,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=120971,12/10/2009 12:00:00 AM,IMAGERY/OTHER,7/26/2016 12:00:00 AM,www2.palomar.edu/,06,073,4,1,40,1,21,-2,-2,NOT AVAILABLE,1,5,14140,7001,21141,2,-999,1365,NOT AVAILABLE,-13044609.178041,3915256.12739816
2429,119775,NEWSCHOOL OF ARCHITECTURE AND DESIGN,1249 F ST,SAN DIEGO,CA,92101,NOT AVAILABLE,(800) 490-7081,3,A,589,SAN DIEGO,06073,USA,32.7133096690001,-117.153305406,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=119775,10/13/2009 12:00:00 AM,IMAGERY,7/18/2016 12:00:00 AM,www.newschoolarch.edu/,06,073,3,1,20,1,11,-2,-2,NOT AVAILABLE,30,1,52,403,455,2,-999,134,NOT AVAILABLE,-13041446.3025448,3857312.15113575
2436,122320,SAN DIEGO COMMUNITY COLLEGE DISTRICT-DISTRICT OFFICE,3375 CAMINO DEL RIO SOUTH,SAN DIEGO,CA,92108,NOT AVAILABLE,(619) 388-6500,1,A,526,SAN DIEGO,06073,USA,32.7763004110001,-117.1204797,611710,EDUCATIONAL SUPPORT SERVICES,https://nces.ed.gov/collegenavigator/?id=122320,10/13/2009 12:00:00 AM,IMAGERY/OTHER,7/19/2016 12:00:00 AM,www.sdccd.edu/,06,073,0,3,30,1,11,-2,-2,SAN DIEGO COMMUNITY COLLEGE DISTRICT - DISTRICT OFFICE,-2,-2,-999,-999,-999,-2,-999,526,NOT AVAILABLE,-13037792.1616679,3865649.08790784
2440,123800,SOUTHWESTERN COLLEGE,900 OTAY LAKES RD.,CHULA VISTA,CA,91910,7299,(619) 421-6700,1,A,18957,SAN DIEGO,06073,USA,32.6415666980001,-116.997214533,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=123800,10/13/2009 12:00:00 AM,IMAGERY,7/22/2016 12:00:00 AM,https://www.swccd.edu/,06,073,4,2,40,1,11,-2,-2,SOUTHWESTERN COMMUNITY COLLEGE DISTRICT,1,4,11218,6403,17621,2,-999,1336,NOT AVAILABLE,-13024070.3460449,3847824.00875703
2536,122375,SAN DIEGO MESA COLLEGE,7250 MESA COLLEGE DR,SAN DIEGO,CA,92111,4998,(619) 388-2600,1,A,21616,SAN DIEGO,06073,USA,32.8048046710001,-117.169022544,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=122375,12/10/2009 12:00:00 AM,IMAGERY/OTHER,7/27/2016 12:00:00 AM,www.sdmesa.edu/,06,073,1,2,30,1,11,-2,-2,NOT AVAILABLE,1,5,16725,3968,20693,2,-999,923,NOT AVAILABLE,-13043195.9263437,3869423.61648239
2537,126049,THOMAS JEFFERSON SCHOOL OF LAW,701 B STREET - SUITE 110,SAN DIEGO,CA,92101,NOT AVAILABLE,(619) 961-4325,2,A,301,SAN DIEGO,06073,USA,32.7179554730001,-117.15829375,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=126049,12/10/2009 12:00:00 AM,IMAGERY/OTHER,1/30/2020 12:00:00 AM,www.tjsl.edu/,06,073,2,2,13,1,11,-2,-2,NOT AVAILABLE,31,1,72,175,247,2,-999,54,NOT AVAILABLE,-13042001.6024588,3857926.83031676
2664,454795,HEALING HANDS SCHOOL OF HOLISTIC HEALTH,125 W MISSION AVE STE 212,ESCONDIDO,CA,92025,NOT AVAILABLE,(760) 746-9364,3,A,391,SAN DIEGO,06073,USA,33.1296180000001,-117.086215,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/collegenavigator/?id=454795,6/2/2011 12:00:00 AM,IMAGERY/OTHER,5/25/2022 12:00:00 AM,https://hhs.edu/,06,073,9,1,0,2,21,-2,-2,NOT AVAILABLE,-2,1,120,244,364,2,-999,27,NOT AVAILABLE,-13033977.8327117,3912521.24998198
2720,111391,CALIFORNIA WESTERN SCHOOL OF LAW,225 CEDAR ST,SAN DIEGO,CA,92101,3046,(619) 239-0391,2,A,999,SAN DIEGO,06073,USA,32.721710892,-117.162591821,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=111391,10/13/2009 12:00:00 AM,IMAGERY/OTHER,1/24/2019 12:00:00 AM,https://www.cwsl.edu/,06,073,2,1,13,1,11,-2,-2,NOT AVAILABLE,31,1,261,535,796,2,-999,203,NOT AVAILABLE,-13042480.0615339,3858423.7274308
2723,116563,BELLUS ACADEMY-EL CAJON,1073 E MAIN ST,EL CAJON,CA,92021,NOT AVAILABLE,(619) 442-3407,3,A,202,SAN DIEGO,06073,USA,32.794071763,-116.94626991,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/collegenavigator/?id=116563,10/13/2009 12:00:00 AM,IMAGERY/OTHER,8/25/2015 12:00:00 AM,www.bellusacademy.edu/,06,073,6,2,0,2,21,-2,-2,BELLUS ACADEMY,-2,1,-999,184,184,2,-999,18,NOT AVAILABLE,-13018399.2165539,3868002.22488539
3117,492315,POWAY ADULT SCHOOL,13626 TWIN PEAKS ROAD,POWAY,CA,92064,NOT AVAILABLE,(858) 668-4024,1,A,90,SAN DIEGO,06073,USA,32.978817,-117.035819,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/collegenavigator/?id=492315,12/4/2019 12:00:00 AM,IMAGERY/OTHER,12/16/2019 12:00:00 AM,www.powayadultschool.com/,06,073,7,3,0,2,13,-2,-2,NOT AVAILABLE,-2,1,90,-999,90,2,-999,-999,NOT AVAILABLE,-13028367.7756537,3892492.61185553
3336,485494,ASSOCIATED BARBER COLLEGE OF SAN DIEGO,1333 5TH AVENUE,SAN DIEGO,CA,92101,4210,(619) 234-7703 EXT 104,3,A,94,SAN DIEGO,06073,USA,32.7193060770001,-117.160002748,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/collegenavigator/?id=485494,2/13/2018 12:00:00 AM,IMAGERY/OTHER,2/15/2018 12:00:00 AM,sandiegobarbercollege.com/,06,073,9,1,0,2,11,-2,-2,NOT AVAILABLE,-2,1,-999,81,81,2,-999,13,NOT AVAILABLE,-13042191.8472459,3858105.53266164
3350,457244,SAN DIEGO CULINARY INSTITUTE,8024 LA MESA BLVD,LA MESA,CA,91942,NOT AVAILABLE,(619) 644-2100,3,D,-999,SAN DIEGO,06073,USA,32.7643293960001,-117.023814695,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/collegenavigator/?id=457244,6/25/2013 12:00:00 AM,IMAGERY/OTHER,5/23/2016 12:00:00 AM,www.sandiegoculinary.edu,06,073,9,2,0,2,21,03/31/2020,-2,NOT AVAILABLE,-2,-2,-999,-999,-999,-1,-999,-999,NOT AVAILABLE,-13027031.4625338,3864064.24897878
3379,486497,CALIFORNIA BARBER AND BEAUTY COLLEGE,5315 EL CAJON BOULEVARD,SAN DIEGO,CA,92115,4730,(619) 265-0500,3,A,52,SAN DIEGO,06073,USA,32.7572200000001,-117.081321,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/collegenavigator/?id=486497,2/13/2018 12:00:00 AM,IMAGERY/OTHER,2/19/2018 12:00:00 AM,https://www.californiabarberandbeauty.com/,06,073,9,1,0,2,11,-2,-2,NOT AVAILABLE,-2,1,2,43,45,2,-999,7,NOT AVAILABLE,-13033433.0351238,3863123.13912936
3842,462354,JOHN PAUL THE GREAT CATHOLIC UNIVERSITY,155 W. GRAND AVE,ESCONDIDO,CA,92025,NOT AVAILABLE,(858) 653-6740,2,A,364,SAN DIEGO,06073,USA,33.1208500000001,-117.082401,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=462354,6/25/2013 12:00:00 AM,IMAGERY/OTHER,3/7/2019 12:00:00 AM,https://jpcatholic.edu/,06,073,2,3,30,1,21,-2,-2,NOT AVAILABLE,22,1,18,256,274,1,225,90,NOT AVAILABLE,-13033553.2601739,3911355.78754174
3984,478634,CALIFORNIA COLLEGE SAN DIEGO,"277 RANCHEROS DRIVE, SUITE 200",SAN MARCOS,CA,92069,2971,(619) 680-4430 EXT 1501,2,A,183,SAN DIEGO,06073,USA,33.1382963570001,-117.160650873,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=478634,8/10/2015 12:00:00 AM,IMAGERY/OTHER,8/26/2015 12:00:00 AM,www.cc-sd.edu/,06,073,2,1,30,1,21,-2,-2,SAN MARCOS BRANCH CAMPUS,14,1,-999,135,135,2,-999,48,NOT AVAILABLE,-13042263.9961909,3913674.91149516
4105,483586,CALIFORNIA INTERNATIONAL BUSINESS UNIVERSITY,550 WEST B STREET,SAN DIEGO,CA,92101,NOT AVAILABLE,(619) 384-8596,2,A,-999,SAN DIEGO,06073,USA,32.7200689690001,-117.16766387,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=483586,1/21/2016 12:00:00 AM,IMAGERY/OTHER,1/21/2016 12:00:00 AM,www.cibu.edu,06,073,2,1,12,1,11,-2,-2,NOT AVAILABLE,-2,-1,-999,-999,-999,-1,-999,-999,NOT AVAILABLE,-13043044.6794458,3858206.47431791
4158,485263,CALIFORNIA COLLEGE SAN DIEGO,6602 CONVOY COURT STE 100,SAN DIEGO,CA,92111,NOT AVAILABLE,(619) 680-4430 EXT 1501,2,A,351,SAN DIEGO,06073,USA,32.8349593200001,-117.167110985,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=485263,1/21/2016 12:00:00 AM,IMAGERY/OTHER,2/1/2019 12:00:00 AM,www.cc-sd.edu/,06,073,2,1,30,1,11,-2,-2,NOT AVAILABLE,26,1,-999,235,235,2,-999,116,NOT AVAILABLE,-13042983.1325692,3873418.00702924
4163,366711,CALIFORNIA STATE UNIVERSITY-SAN MARCOS,333 S TWIN OAKS VALLEY RD,SAN MARCOS,CA,92096,0001,(760) 750-4000,1,A,18014,SAN DIEGO,06073,USA,33.128172815,-117.158584071,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=366711,12/10/2009 12:00:00 AM,IMAGERY/OTHER,7/26/2016 12:00:00 AM,www.csusm.edu/,06,073,1,1,14,1,21,-2,-2,NOT AVAILABLE,19,4,3007,13360,16367,1,1547,1647,NOT AVAILABLE,-13042033.9208446,3912329.14470449
4188,154022,ASHFORD UNIVERSITY,8620 SPECTRUM CENTER BOULEVARD,SAN DIEGO,CA,92123,NOT AVAILABLE,(866) 711-1700,3,A,33440,SAN DIEGO,06073,USA,32.8270890000001,-117.141277,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=154022,10/13/2009 12:00:00 AM,IMAGERY/OTHER,1/25/2019 12:00:00 AM,www.ashford.edu/,06,073,3,2,12,1,11,-2,-2,NOT AVAILABLE,18,5,-999,31115,31115,2,-999,2325,NOT AVAILABLE,-13040107.3065138,3872375.34607295
4261,111054,CALIFORNIA HAIR DESIGN ACADEMY,"8011 UNIVERSITY AVENUE, SUITE A-2",LA MESA,CA,91942,5055,(619) 461-8600,3,A,94,SAN DIEGO,06073,USA,32.7652209570001,-117.024260531,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/collegenavigator/?id=111054,10/13/2009 12:00:00 AM,GEOCODE,7/15/2016 12:00:00 AM,https://chdaschools.com/,06,073,9,1,0,2,21,-2,-2,NOT AVAILABLE,-2,1,-999,77,77,2,-999,17,NOT AVAILABLE,-13027081.0927703,3864182.27511482
4282,115296,GROSSMONT COLLEGE,8800 GROSSMONT COLLEGE DR,EL CAJON,CA,92020,1799,(619) 644-7000,1,A,16406,SAN DIEGO,06073,USA,32.8160770580001,-117.007291965,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=115296,10/13/2009 12:00:00 AM,IMAGERY,7/15/2016 12:00:00 AM,https://www.grossmont.edu/,06,073,4,2,40,1,21,-2,-2,NOT AVAILABLE,1,4,10610,4816,15426,2,-999,980,NOT AVAILABLE,-13025192.1606437,3870916.63771647
4380,113218,CUYAMACA COLLEGE,900 RANCHO SAN DIEGO PKY,EL CAJON,CA,92019,NOT AVAILABLE,(619) 660-4000,1,A,9249,SAN DIEGO,06073,USA,32.742928869,-116.94064544,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=113218,12/10/2009 12:00:00 AM,IMAGERY/OTHER,7/27/2016 12:00:00 AM,https://www.cuyamaca.edu/,06,073,4,1,40,1,21,-2,-2,NOT AVAILABLE,2,3,7074,1646,8720,2,-999,529,NOT AVAILABLE,-13017773.1034175,3861231.57079759
4381,113582,DESIGN INSTITUTE OF SAN DIEGO,8555 COMMERCE AVE,SAN DIEGO,CA,92121,NOT AVAILABLE,(858) 566-1200,3,A,172,SAN DIEGO,06073,USA,32.8809010000001,-117.167402,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=113582,12/10/2009 12:00:00 AM,IMAGERY/OTHER,7/27/2016 12:00:00 AM,www.disd.edu/,06,073,3,3,20,1,11,-2,-2,NOT AVAILABLE,30,1,55,75,130,2,-999,42,NOT AVAILABLE,-13043015.5282108,3879506.21207515
4642,444361,ATA COLLEGE,"1810 GILLESPIE WAY, SUITE 104",EL CAJON,CA,92020,NOT AVAILABLE,(619) 596-2766,3,A,105,SAN DIEGO,06073,USA,32.8190225720001,-116.981780975,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=444361,10/13/2009 12:00:00 AM,IMAGERY/OTHER,10/16/2015 12:00:00 AM,www.advancedtraining.edu/,06,073,6,2,40,1,21,-2,-2,ATA COLLEGE,11,1,-999,83,83,2,-999,22,NOT AVAILABLE,-13022352.2902273,3871306.80057921
4665,480781,CALIFORNIA MIRAMAR UNIVERSITY,"3550 CAMINO DEL RIO NORTH, SUITE 208",SAN DIEGO,CA,92108,NOT AVAILABLE,(858) 653-3000 EXT 11,3,A,210,SAN DIEGO,06073,USA,32.7794200000001,-117.11851,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=480781,8/10/2015 12:00:00 AM,IMAGERY/OTHER,3/19/2019 12:00:00 AM,www.calmu.edu/,06,073,3,1,12,1,11,-2,-2,NOT AVAILABLE,29,1,-999,174,174,2,-999,36,NOT AVAILABLE,-13037572.8956669,3866062.12433542
4722,378576,PACIFIC COLLEGE OF HEALTH AND SCIENCE,7445 MISSION VALLEY RD STE 105,SAN DIEGO,CA,92108,4407,(619) 574-6909 EXT 104,3,A,1106,SAN DIEGO,06073,USA,32.7783905360001,-117.160729915,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=378576,10/13/2009 12:00:00 AM,IMAGERY/OTHER,6/16/2016 12:00:00 AM,www.pacificcollege.edu/,06,073,3,1,13,1,11,-2,-2,NOT AVAILABLE,26,1,466,501,967,2,-999,139,NOT AVAILABLE,-13042272.7951061,3865925.82076246
5010,367954,UNIVERSITY OF ST. AUGUSTINE FOR HEALTH SCIENCES,700 WINDY POINT DRIVE,SAN MARCOS,CA,92069,NOT AVAILABLE,(904) 826-0084,3,A,5713,SAN DIEGO,06073,USA,33.151892054,-117.165952923,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=367954,6/2/2011 12:00:00 AM,GEOCODE,10/29/2015 12:00:00 AM,www.usa.edu/,06,073,3,1,11,1,21,-2,-2,UNIVERSITY OF ST. AUGUSTINE,26,2,328,4383,4711,2,-999,1002,NOT AVAILABLE,-13042854.217697,3915482.49131877
5525,449968,PAUL MITCHELL THE SCHOOL-SAN DIEGO,410 A STREET,SAN DIEGO,CA,92101,NOT AVAILABLE,(619) 398-1590,3,A,296,SAN DIEGO,06073,USA,32.719045356,-117.160779832,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/collegenavigator/?id=449968,10/13/2009 12:00:00 AM,IMAGERY,7/14/2016 12:00:00 AM,paulmitchell.edu/sandiego,06,073,6,1,0,2,11,-2,-2,NOT AVAILABLE,-2,1,37,233,270,2,-999,26,NOT AVAILABLE,-13042278.3518411,3858071.03569676
5543,112084,SAN DIEGO CHRISTIAN COLLEGE,200 RIVERVIEW PARKWAY,SANTEE,CA,92071,NOT AVAILABLE,(619) 201-8700,2,A,716,SAN DIEGO,06073,USA,32.843031318,-116.977787868,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=112084,10/13/2009 12:00:00 AM,IMAGERY/OTHER,1/30/2020 12:00:00 AM,sdcc.edu/,06,073,2,2,20,1,21,-2,-2,NOT AVAILABLE,22,1,90,422,512,1,175,204,NOT AVAILABLE,-13021907.7795893,3874487.48232382
5557,125718,WESTMINSTER THEOLOGICAL SEMINARY IN CALIFORNIA,1725 BEAR VALLEY PARKWAY,ESCONDIDO,CA,92027,NOT AVAILABLE,(760) 480-8474,2,A,175,SAN DIEGO,06073,USA,33.121446592,-117.046371008,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=125718,10/13/2009 12:00:00 AM,IMAGERY,7/25/2016 12:00:00 AM,www.wscal.edu/,06,073,2,2,20,1,21,-2,-2,WESTMINSTER SEMINARY CALIFORNIA,24,1,35,99,134,1,136,41,NOT AVAILABLE,-13029542.4198111,3911435.08421341
5573,114947,GEMOLOGICAL INSTITUTE OF AMERICA-CARLSBAD,5345 ARMADA DR,CARLSBAD,CA,92008,NOT AVAILABLE,(760) 603-4000,2,A,147,SAN DIEGO,06073,USA,33.1313132990001,-117.318764894,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/collegenavigator/?id=114947,10/13/2009 12:00:00 AM,IMAGERY/OTHER,7/26/2016 12:00:00 AM,www.gia.edu/gem-education,06,073,8,1,0,2,12,-2,-2,GIA,-2,1,-999,29,29,2,-999,118,NOT AVAILABLE,-13059865.1684959,3912746.60639649
