OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,LEVEL,ENROLLMENT,ST_GRADE,END_GRADE,DISTRICTID,FT_TEACHER,SHELTER_ID,x,y
1786,063153010632,WESTVIEW HIGH,13500 CAMINO DEL SUR,SAN DIEGO,CA,92129,4465,(858) 780-2000,1,1,2485,SAN DIEGO,06073,USA,32.967093833,-117.148407746,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063153010632,1/29/2010 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://www.powayusd.com/pusdwvhs,ELEMENTARY,2395,09,12,0631530,90,10820906,-13040901.0975275,3890937.03416611
1856,061350008301,WILLIAM H. FRAZIER ELEMENTARY,1835 GUM TREE LN.,FALLBROOK,CA,92028,2108,(760) 731-4340,1,1,528,SAN DIEGO,06073,USA,33.387013327,-117.224772485,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061350008301,10/13/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,NOT AVAILABLE,MIDDLE,504,KG,06,0613500,24,NOT AVAILABLE,-13049401.9813875,3946786.89985831
1857,063432005497,LAFAYETTE ELEMENTARY,6125 PRINTWOOD WAY,SAN DIEGO,CA,92117,3346,(858) 987-5000,1,1,266,SAN DIEGO,06073,USA,32.827188118,-117.169392358,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005497,10/13/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://new.sandi.net/schools/lafayette,HIGH,254,KG,06,0634320,12,10814411,-13043237.0938498,3872388.47666317
1858,064119006814,BOBIER ELEMENTARY,220 W. BOBIER DR.,VISTA,CA,92083,1903,(760) 724-8501,1,1,592,SAN DIEGO,06073,USA,33.220279583,-117.247219715,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=064119006814,12/10/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.bo.vistausd.org,HIGH,570,KG,05,0641190,22,10814312,-13051900.7956009,3924579.02690897
1859,062825009169,REYNOLDS ELEMENTARY,4575 DOUGLAS DR.,OCEANSIDE,CA,92057,4228,(760) 901-7200,1,1,614,SAN DIEGO,06073,USA,33.2564510890001,-117.31257578,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062825009169,12/10/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.reynolds.oside.us/,MIDDLE,590,KG,05,0628250,24,10814485,-13059176.1994769,3929393.2376942
1860,062825004371,SAN LUIS REY ELEMENTARY,3535 HACIENDA DR.,OCEANSIDE,CA,92054,3854,(760) 721-2300,1,1,500,SAN DIEGO,06073,USA,33.2200999510001,-117.334885117,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062825004371,12/10/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.slr.oside.us/,ELEMENTARY,479,KG,05,0628250,21,NOT AVAILABLE,-13061659.6635117,3924555.12393445
1861,063432005559,TIERRASANTA ELEMENTARY,5450 LA CUENTA DR.,SAN DIEGO,CA,92124,1417,(858) 496-8255,1,1,523,SAN DIEGO,06073,USA,32.829446036,-117.096817766,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005559,12/10/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.sandi.net/tierrasanta,ELEMENTARY,502,KG,05,0634320,21,10814525,-13035158.1272239,3872687.59679721
2227,060210009112,SHADOW HILLS ELEMENTARY,8770 HARBISON CANYON RD.,ALPINE,CA,91901,2615,(619) 445-2977,1,1,373,SAN DIEGO,06073,USA,32.8316925570001,-116.81615014,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060210009112,1/29/2010 12:00:00 AM,IMAGERY,5/18/2010 12:00:00 AM,http://www.alpineschools.net/shadowhills,MIDDLE,355,KG,05,0602100,18,NOT AVAILABLE,-13003914.3500154,3872985.2146492
2329,063438008307,CARMEL VALLEY MIDDLE,3800 MYKONOS LN.,SAN DIEGO,CA,92130,3572,(858) 481-8221,1,1,928,SAN DIEGO,06073,USA,32.946961285,-117.231788951,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063438008307,10/13/2009 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://sduhsd.net/cv,ELEMENTARY,894,07,08,0634380,34,NOT AVAILABLE,-13050183.0508098,3888266.07529148
2420,062667004042,CENTRAL ELEMENTARY,933 E AVE.,NATIONAL CITY,CA,91950,3416,(619) 336-7400,1,1,576,SAN DIEGO,06073,USA,32.676093746,-117.100975448,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062667004042,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,549,KG,06,0626670,27,NOT AVAILABLE,-13035620.958267,3852389.3243517
3146,063432007683,DANA,1775 CHATSWORTH BLVD.,SAN DIEGO,CA,92106,3709,(619) 225-3897,1,1,716,SAN DIEGO,06073,USA,32.7332729600001,-117.233837255,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432007683,10/13/2009 12:00:00 AM,IMAGERY/OTHER,2/23/2016 12:00:00 AM,http://www.danamiddle.com,ELEMENTARY,685,05,06,0634320,31,NOT AVAILABLE,-13050411.0669681,3859953.69032611
3152,069105212994,URBAN CORPS OF SAN DIEGO COUNTY CHARTER,3127 JEFFERSON ST.,SAN DIEGO,CA,92110,4422,(619) 235-6884,1,1,203,SAN DIEGO,06073,USA,32.755397443,-117.203318879,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=069105212994,2/4/2014 12:00:00 AM,IMAGERY/OTHER,5/19/2014 12:00:00 AM,http://www.urbancorpscharter.com,ELEMENTARY,191,09,12,0691052,12,NOT AVAILABLE,-13047013.7768919,3862881.88933537
3326,060006910646,VALLEY CENTER PREP,28751-U COLE GRADE RD.,VALLEY CENTER,CA,92082,NOT AVAILABLE,(760) 751-0455,4,1,191,SAN DIEGO,06073,USA,33.2353919,-117.022187024,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060006910646,1/29/2010 12:00:00 AM,IMAGERY/OTHER,3/10/2020 12:00:00 AM,http://vcprep.vcpusd.org,ELEMENTARY,185,KG,12,0600069,6,NOT AVAILABLE,-13026850.2710269,3926590.14355334
3363,060861000873,RICE (LILIAN J.) ELEMENTARY,915 FOURTH AVE.,CHULA VISTA,CA,91911,2098,(619) 420-7071,1,1,613,SAN DIEGO,06073,USA,32.6191636450001,-117.07466147,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060861000873,12/10/2009 12:00:00 AM,IMAGERY,2/24/2016 12:00:00 AM,http://schools.cvesd.org/schools/rice/,ELEMENTARY,586,KG,06,0608610,27,NOT AVAILABLE,-13032691.6996353,3844862.72288886
3480,061350001543,MARY FAY PENDLETON ELEMENTARY,110 MARINE DR.,OCEANSIDE,CA,92058,8234,(760) 731-4050,1,1,545,SAN DIEGO,06073,USA,33.325249222,-117.304468722,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061350001543,1/29/2010 12:00:00 AM,IMAGERY,6/8/2010 12:00:00 AM,http://mfp.fuesd.org/,HIGH,520,KG,06,0613500,25,NOT AVAILABLE,-13058273.7259085,3938555.36181726
3855,063432005558,TAFT MIDDLE,9191 GRAMERCY DR.,SAN DIEGO,CA,92123,4015,(858) 935-2650,1,1,454,SAN DIEGO,06073,USA,32.801702844,-117.130357957,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005558,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://sandi.net/taft,ELEMENTARY,430,06,08,0634320,24,10798926,-13038891.8042071,3869012.81448425
3895,061275003928,OLIVENHAIN PIONEER ELEMENTARY,8000 CALLE ACERVO,CARLSBAD,CA,92009,8900,(760) 943-2000,1,1,509,SAN DIEGO,06073,USA,33.061681908,-117.238837208,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061275003928,10/13/2009 12:00:00 AM,IMAGERY/OTHER,2/23/2016 12:00:00 AM,http://www.eusd.k12.ca.us/op,ELEMENTARY,486,KG,06,0612750,23,NOT AVAILABLE,-13050967.65919,3903494.06988116
3896,063488007353,DISCOVERY ELEMENTARY,730 APPLEWILDE DR.,SAN MARCOS,CA,92078,4969,(760) 290-2077,1,1,617,SAN DIEGO,06073,USA,33.127670102,-117.190552903,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063488007353,10/13/2009 12:00:00 AM,IMAGERY/OTHER,2/23/2016 12:00:00 AM,http://www.smusd.org,ELEMENTARY,589,KG,05,0634880,28,NOT AVAILABLE,-13045592.6749441,3912262.32090751
3899,061275001434,PAUL ECKE-CENTRAL ELEMENTARY,185 UNION ST.,ENCINITAS,CA,92024,2119,(760) 944-4323,1,1,613,SAN DIEGO,06073,USA,33.0573393180001,-117.296395511,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061275001434,12/10/2009 12:00:00 AM,IMAGERY/OTHER,2/23/2016 12:00:00 AM,http://www.eusd.k12.ca.us/pe,MIDDLE,587,KG,06,0612750,26,NOT AVAILABLE,-13057375.0201709,3902917.27432386
3900,069103012159,SAN PASQUAL ACADEMY,17701 SAN PASQUAL VALLEY RD.,ESCONDIDO,CA,92025,5301,(760) 233-6003,4,1,58,SAN DIEGO,06073,USA,33.0872495990001,-116.947930473,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=069103012159,12/10/2009 12:00:00 AM,IMAGERY/OTHER,2/23/2016 12:00:00 AM,http://www.sanpasqualacademy.org,OTHER,50,09,12,0691030,8,NOT AVAILABLE,-13018584.0695815,3906890.62290072
3901,062079002496,LINDO PARK ELEMENTARY,12824 LAKESHORE DR.,LAKESIDE,CA,92040,0578,(619) 390-2656,1,1,406,SAN DIEGO,06073,USA,32.8593675120001,-116.913978986,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062079002496,12/10/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.lsusd.net,ELEMENTARY,387,KG,05,0620790,19,NOT AVAILABLE,-13014804.607337,3876652.19526784
3902,060681000619,MADISON AVENUE ELEMENTARY,1615 E. MADISON AVE.,EL CAJON,CA,92019,1046,(619) 588-3077,1,1,610,SAN DIEGO,06073,USA,32.7999141760001,-116.920741618,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060681000619,12/10/2009 12:00:00 AM,IMAGERY/OTHER,2/23/2016 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,583,KG,05,0606810,27,NOT AVAILABLE,-13015557.4200877,3868775.93209929
3903,060987001070,CORONADO VILLAGE ELEMENTARY,600 SIXTH ST.,CORONADO,CA,92118,1600,(619) 522-8919,1,1,637,SAN DIEGO,06073,USA,32.6934264230001,-117.181567733,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060987001070,12/10/2009 12:00:00 AM,IMAGERY/OTHER,2/24/2016 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,609,KG,05,0609870,28,NOT AVAILABLE,-13044592.4503951,3854681.79104468
4767,061288011128,BEAR VALLEY MIDDLE,3003 BEAR VALLEY PKWY.,ESCONDIDO,CA,92025,7618,(760) 432-4060,1,1,987,SAN DIEGO,06073,USA,33.0842787930001,-117.057338145,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061288011128,1/29/2010 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://www.eusd.org,MIDDLE,987,06,08,0612880,-999,NOT AVAILABLE,-13030763.2759174,3906495.91396246
5102,061288011128,BEAR VALLEY MIDDLE,3003 BEAR VALLEY PKWY.,ESCONDIDO,CA,92025,7618,(760) 432-4060,1,1,1011,SAN DIEGO,06073,USA,33.0842787930001,-117.057338145,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061288011128,1/29/2010 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://www.eusd.org,MIDDLE,953,06,08,0612880,58,NOT AVAILABLE,-13030763.2759174,3906495.91396246
5152,062610002661,CAMPO HIGH (CONTINUATION),3305 BUCKMAN SPRINGS RD.,PINE VALLEY,CA,91962,4005,(619) 478-2735,4,1,9,SAN DIEGO,06073,USA,32.7338817400001,-116.492796033,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062610002661,1/29/2010 12:00:00 AM,IMAGERY/OTHER,9/30/2019 12:00:00 AM,NOT AVAILABLE,MIDDLE,7,09,12,0626100,2,NOT AVAILABLE,-12967918.7354782,3860034.25328374
6167,061350014137,MIKE CHOATE EARLY CHILDHOOD EDUCATION CENTER,407 S. MISSION RD.,FALLBROOK,CA,92028,2898,(760) 760-6959,1,1,-999,SAN DIEGO,06073,USA,33.3773140370001,-117.25403861,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061350014137,2/6/2020 12:00:00 AM,IMAGERY/OTHER,2/7/2020 12:00:00 AM,http://www.fuesd.org/apps/pages/index.jsp?urec_id812644&typed&prec_id1199003,HIGH,-999,M,M,0613500,-999,NOT AVAILABLE,-13052659.87152,3945493.85169761
6327,060861014135,SPECIAL EDUCATION PRESCHOOL,84 E. J ST. RM. 301,CHULA VISTA,CA,91910,6115,(619) 425-9600,1,1,-999,SAN DIEGO,06073,USA,32.6314862150001,-117.058132793,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060861014135,2/6/2020 12:00:00 AM,IMAGERY/OTHER,2/7/2020 12:00:00 AM,http://www.cvesd.org,ELEMENTARY,-999,M,M,0608610,-999,NOT AVAILABLE,-13030851.7357282,3846491.45612708
6329,060987014121,CORONADO UNIFIED SPECIAL EDUCATION PRE-K,201 6TH ST.,CORONADO,CA,92118,1638,(619) 522-8900,1,1,-999,SAN DIEGO,06073,USA,32.696457256,-117.187218792,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060987014121,2/6/2020 12:00:00 AM,IMAGERY/OTHER,2/7/2020 12:00:00 AM,http://www.coronadousd.net,MIDDLE,-999,M,M,0609870,-999,NOT AVAILABLE,-13045221.5234054,3855082.70292135
6676,062610013109,PINE VALLEY MIDDLE,7454 PINE BLVD.,PINE VALLEY,CA,91962,NOT AVAILABLE,(619) 473-9022,1,1,109,SAN DIEGO,06073,USA,32.8202667090001,-116.526390057,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062610013109,5/8/2015 12:00:00 AM,IMAGERY,5/26/2015 12:00:00 AM,http://www.meusd.net,HIGH,104,07,08,0626100,5,NOT AVAILABLE,-12971658.4051236,3871471.60288513
7179,063738006322,GEORGE NICOLOFF ELEMENTARY,1777 HOWARD AVE.,SAN YSIDRO,CA,92173,1235,(619) 428-1605,1,1,694,SAN DIEGO,06073,USA,32.5660647070001,-117.065820847,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063738006322,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,665,KG,06,0637380,29,NOT AVAILABLE,-13031707.5659846,3837846.94379032
7492,063432005551,SHERMAN ELEMENTARY,301 22ND ST.,SAN DIEGO,CA,92102,2918,(619) 615-7000,1,1,611,SAN DIEGO,06073,USA,32.709472299,-117.142830354,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005551,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,611,KG,05,0634320,-999,10814501,-13040280.2250901,3856804.45875559
7997,060861000864,KELLOGG (KARL H.) ELEMENTARY,229 E. NAPLES ST.,CHULA VISTA,CA,91911,2399,(619) 420-4151,1,1,307,SAN DIEGO,06073,USA,32.620326585,-117.048472008,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060861000864,12/10/2009 12:00:00 AM,IMAGERY,2/24/2016 12:00:00 AM,http://schools.cvesd.org/schools/kellogg/,HIGH,292,KG,06,0608610,15,NOT AVAILABLE,-13029776.3020613,3845016.42467016
8054,063432005551,SHERMAN ELEMENTARY,301 22ND ST.,SAN DIEGO,CA,92102,2918,(619) 615-7000,1,1,605,SAN DIEGO,06073,USA,32.709472299,-117.142830354,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005551,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,581,KG,05,0634320,24,10814501,-13040280.2250901,3856804.45875559
8262,060861000882,VISTA SQUARE ELEMENTARY,540 G ST.,CHULA VISTA,CA,91910,3604,(619) 422-8374,1,1,597,SAN DIEGO,06073,USA,32.6348913620001,-117.087342174,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060861000882,12/10/2009 12:00:00 AM,IMAGERY,2/24/2016 12:00:00 AM,http://schools.cvesd.org/schools/vistasquare/,ELEMENTARY,571,KG,06,0608610,26,NOT AVAILABLE,-13034103.3091475,3846941.57030449
8401,064119003968,MADISON MIDDLE,4930 LAKE BLVD.,OCEANSIDE,CA,92056,4749,(760) 940-0176,1,1,1091,SAN DIEGO,06073,USA,33.1747329460001,-117.258509581,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=064119003968,10/13/2009 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://www.mms.vistausd.org,MIDDLE,1091,06,08,0641190,-999,NOT AVAILABLE,-13053157.5777351,3918519.87236932
8404,060861010377,MCMILLIN (CORKY) ELEMENTARY,1201 SANTA CORA AVE.,CHULA VISTA,CA,91913,1799,(619) 397-0103,1,1,799,SAN DIEGO,06073,USA,32.633417292,-116.983664947,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060861010377,1/29/2010 12:00:00 AM,IMAGERY,5/19/2010 12:00:00 AM,http://schools.cvesd.org/schools/mcmillin/,ELEMENTARY,765,KG,06,0608610,34,NOT AVAILABLE,-13022562.013031,3846746.71617181
8881,063432011939,LINCOLN HIGH,4777 IMPERIAL AVE.,SAN DIEGO,CA,92113,2071,(619) 266-6500,1,1,1451,SAN DIEGO,06073,USA,32.7028815530001,-117.089573623,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432011939,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://lincolnhighsd.net/hornets,HIGH,1399,09,12,0634320,52,10814284,-13034351.7129139,3855932.53971215
